hazard,metric,filename,rcp,epoch,gcm,impact_model
drought,occurrence,lange2020_h08_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,GFDL-ESM2M,h08
drought,occurrence,lange2020_h08_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,GFDL-ESM2M,h08
drought,occurrence,lange2020_h08_hadgem2-es_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,HadGEM2-ES,h08
drought,occurrence,lange2020_h08_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,HadGEM2-ES,h08
drought,occurrence,lange2020_h08_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,HadGEM2-ES,h08
drought,occurrence,lange2020_h08_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,HadGEM2-ES,h08
drought,occurrence,lange2020_h08_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,HadGEM2-ES,h08
drought,occurrence,lange2020_h08_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,HadGEM2-ES,h08
drought,occurrence,lange2020_h08_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,HadGEM2-ES,h08
drought,occurrence,lange2020_h08_ipsl-cm5a-lr_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,IPSL-CM5A-LR,h08
drought,occurrence,lange2020_h08_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,IPSL-CM5A-LR,h08
drought,occurrence,lange2020_h08_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,IPSL-CM5A-LR,h08
drought,occurrence,lange2020_h08_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,IPSL-CM5A-LR,h08
drought,occurrence,lange2020_h08_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,IPSL-CM5A-LR,h08
drought,occurrence,lange2020_h08_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,IPSL-CM5A-LR,h08
drought,occurrence,lange2020_h08_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,IPSL-CM5A-LR,h08
drought,occurrence,lange2020_h08_miroc5_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,MIROC5,h08
drought,occurrence,lange2020_h08_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,MIROC5,h08
drought,occurrence,lange2020_h08_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,MIROC5,h08
drought,occurrence,lange2020_h08_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,MIROC5,h08
drought,occurrence,lange2020_h08_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,MIROC5,h08
drought,occurrence,lange2020_h08_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,MIROC5,h08
drought,occurrence,lange2020_h08_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,MIROC5,h08
drought,occurrence,lange2020_jules-w1_gfdl-esm2m_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,GFDL-ESM2M,jules-w1
drought,occurrence,lange2020_jules-w1_gfdl-esm2m_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,GFDL-ESM2M,jules-w1
drought,occurrence,lange2020_jules-w1_gfdl-esm2m_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,GFDL-ESM2M,jules-w1
drought,occurrence,lange2020_jules-w1_gfdl-esm2m_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,GFDL-ESM2M,jules-w1
drought,occurrence,lange2020_jules-w1_gfdl-esm2m_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,GFDL-ESM2M,jules-w1
drought,occurrence,lange2020_jules-w1_gfdl-esm2m_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,GFDL-ESM2M,jules-w1
drought,occurrence,lange2020_jules-w1_gfdl-esm2m_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,GFDL-ESM2M,jules-w1
drought,occurrence,lange2020_jules-w1_hadgem2-es_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,HadGEM2-ES,jules-w1
drought,occurrence,lange2020_jules-w1_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,HadGEM2-ES,jules-w1
drought,occurrence,lange2020_jules-w1_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,HadGEM2-ES,jules-w1
drought,occurrence,lange2020_jules-w1_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,HadGEM2-ES,jules-w1
drought,occurrence,lange2020_jules-w1_hadgem2-es_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,HadGEM2-ES,jules-w1
drought,occurrence,lange2020_jules-w1_hadgem2-es_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,HadGEM2-ES,jules-w1
drought,occurrence,lange2020_jules-w1_hadgem2-es_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,HadGEM2-ES,jules-w1
drought,occurrence,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,IPSL-CM5A-LR,jules-w1
drought,occurrence,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,IPSL-CM5A-LR,jules-w1
drought,occurrence,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,IPSL-CM5A-LR,jules-w1
drought,occurrence,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,IPSL-CM5A-LR,jules-w1
drought,occurrence,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,IPSL-CM5A-LR,jules-w1
drought,occurrence,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,IPSL-CM5A-LR,jules-w1
drought,occurrence,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,IPSL-CM5A-LR,jules-w1
drought,occurrence,lange2020_jules-w1_miroc5_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,MIROC5,jules-w1
drought,occurrence,lange2020_jules-w1_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,MIROC5,jules-w1
drought,occurrence,lange2020_jules-w1_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,MIROC5,jules-w1
drought,occurrence,lange2020_jules-w1_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,MIROC5,jules-w1
drought,occurrence,lange2020_jules-w1_miroc5_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,MIROC5,jules-w1
drought,occurrence,lange2020_jules-w1_miroc5_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,MIROC5,jules-w1
drought,occurrence,lange2020_jules-w1_miroc5_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,MIROC5,jules-w1
drought,occurrence,lange2020_lpjml_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,GFDL-ESM2M,lpjml
drought,occurrence,lange2020_lpjml_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,GFDL-ESM2M,lpjml
drought,occurrence,lange2020_lpjml_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,GFDL-ESM2M,lpjml
drought,occurrence,lange2020_lpjml_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,GFDL-ESM2M,lpjml
drought,occurrence,lange2020_lpjml_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,GFDL-ESM2M,lpjml
drought,occurrence,lange2020_lpjml_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,GFDL-ESM2M,lpjml
drought,occurrence,lange2020_lpjml_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,GFDL-ESM2M,lpjml
drought,occurrence,lange2020_lpjml_hadgem2-es_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,HadGEM2-ES,lpjml
drought,occurrence,lange2020_lpjml_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,HadGEM2-ES,lpjml
drought,occurrence,lange2020_lpjml_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,HadGEM2-ES,lpjml
drought,occurrence,lange2020_lpjml_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,HadGEM2-ES,lpjml
drought,occurrence,lange2020_lpjml_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,HadGEM2-ES,lpjml
drought,occurrence,lange2020_lpjml_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,HadGEM2-ES,lpjml
drought,occurrence,lange2020_lpjml_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,HadGEM2-ES,lpjml
drought,occurrence,lange2020_lpjml_ipsl-cm5a-lr_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,IPSL-CM5A-LR,lpjml
drought,occurrence,lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,IPSL-CM5A-LR,lpjml
drought,occurrence,lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,IPSL-CM5A-LR,lpjml
drought,occurrence,lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,IPSL-CM5A-LR,lpjml
drought,occurrence,lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,IPSL-CM5A-LR,lpjml
drought,occurrence,lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,IPSL-CM5A-LR,lpjml
drought,occurrence,lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,IPSL-CM5A-LR,lpjml
drought,occurrence,lange2020_lpjml_miroc5_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,MIROC5,lpjml
drought,occurrence,lange2020_lpjml_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,MIROC5,lpjml
drought,occurrence,lange2020_lpjml_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,MIROC5,lpjml
drought,occurrence,lange2020_lpjml_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,MIROC5,lpjml
drought,occurrence,lange2020_lpjml_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,MIROC5,lpjml
drought,occurrence,lange2020_lpjml_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,MIROC5,lpjml
drought,occurrence,lange2020_lpjml_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,MIROC5,lpjml
drought,occurrence,lange2020_mpi-hm_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,GFDL-ESM2M,mpi-hm
drought,occurrence,lange2020_mpi-hm_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,GFDL-ESM2M,mpi-hm
drought,occurrence,lange2020_mpi-hm_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,GFDL-ESM2M,mpi-hm
drought,occurrence,lange2020_mpi-hm_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,GFDL-ESM2M,mpi-hm
drought,occurrence,lange2020_mpi-hm_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,GFDL-ESM2M,mpi-hm
drought,occurrence,lange2020_mpi-hm_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,GFDL-ESM2M,mpi-hm
drought,occurrence,lange2020_mpi-hm_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,GFDL-ESM2M,mpi-hm
drought,occurrence,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,IPSL-CM5A-LR,mpi-hm
drought,occurrence,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,IPSL-CM5A-LR,mpi-hm
drought,occurrence,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,IPSL-CM5A-LR,mpi-hm
drought,occurrence,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,IPSL-CM5A-LR,mpi-hm
drought,occurrence,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,IPSL-CM5A-LR,mpi-hm
drought,occurrence,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,IPSL-CM5A-LR,mpi-hm
drought,occurrence,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,IPSL-CM5A-LR,mpi-hm
drought,occurrence,lange2020_mpi-hm_miroc5_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,MIROC5,mpi-hm
drought,occurrence,lange2020_mpi-hm_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,MIROC5,mpi-hm
drought,occurrence,lange2020_mpi-hm_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,MIROC5,mpi-hm
drought,occurrence,lange2020_mpi-hm_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,MIROC5,mpi-hm
drought,occurrence,lange2020_mpi-hm_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,MIROC5,mpi-hm
drought,occurrence,lange2020_mpi-hm_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,MIROC5,mpi-hm
drought,occurrence,lange2020_mpi-hm_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,MIROC5,mpi-hm
drought,occurrence,lange2020_orchidee_gfdl-esm2m_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,GFDL-ESM2M,orchidee
drought,occurrence,lange2020_orchidee_gfdl-esm2m_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,GFDL-ESM2M,orchidee
drought,occurrence,lange2020_orchidee_gfdl-esm2m_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,GFDL-ESM2M,orchidee
drought,occurrence,lange2020_orchidee_gfdl-esm2m_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,GFDL-ESM2M,orchidee
drought,occurrence,lange2020_orchidee_gfdl-esm2m_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,GFDL-ESM2M,orchidee
drought,occurrence,lange2020_orchidee_gfdl-esm2m_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,GFDL-ESM2M,orchidee
drought,occurrence,lange2020_orchidee_gfdl-esm2m_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,GFDL-ESM2M,orchidee
drought,occurrence,lange2020_orchidee_hadgem2-es_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,HadGEM2-ES,orchidee
drought,occurrence,lange2020_orchidee_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,HadGEM2-ES,orchidee
drought,occurrence,lange2020_orchidee_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,HadGEM2-ES,orchidee
drought,occurrence,lange2020_orchidee_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,HadGEM2-ES,orchidee
drought,occurrence,lange2020_orchidee_hadgem2-es_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,HadGEM2-ES,orchidee
drought,occurrence,lange2020_orchidee_hadgem2-es_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,HadGEM2-ES,orchidee
drought,occurrence,lange2020_orchidee_hadgem2-es_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,HadGEM2-ES,orchidee
drought,occurrence,lange2020_orchidee_ipsl-cm5a-lr_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,IPSL-CM5A-LR,orchidee
drought,occurrence,lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,IPSL-CM5A-LR,orchidee
drought,occurrence,lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,IPSL-CM5A-LR,orchidee
drought,occurrence,lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2.6,2080,IPSL-CM5A-LR,orchidee
drought,occurrence,lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6.0,2030,IPSL-CM5A-LR,orchidee
drought,occurrence,lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6.0,2050,IPSL-CM5A-LR,orchidee
drought,occurrence,lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6.0,2080,IPSL-CM5A-LR,orchidee
drought,occurrence,lange2020_orchidee_miroc5_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,MIROC5,orchidee
drought,occurrence,lange2020_orchidee_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2.6,2030,MIROC5,orchidee
drought,occurrence,lange2020_orchidee_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2.6,2050,MIROC5,orchidee
